item_id,location_id,period,quantity
ITM0002,LOC009,2026-05,158
ITM0002,LOC009,2026-06,121
ITM0002,LOC009,2026-07,386
ITM0002,LOC009,2026-08,381
ITM0002,LOC009,2026-09,280
ITM0002,LOC009,2026-10,222
ITM0002,LOC009,2026-11,398
ITM0002,LOC009,2026-12,217
ITM0002,LOC016,2026-01,266
ITM0002,LOC016,2026-02,261
ITM0002,LOC016,2026-03,481
ITM0002,LOC016,2026-04,236
ITM0002,LOC016,2026-05,107
ITM0002,LOC016,2026-06,345
ITM0002,LOC016,2026-07,360
ITM0002,LOC016,2026-08,335
ITM0002,LOC016,2026-09,328
ITM0002,LOC016,2026-10,298
ITM0002,LOC016,2026-11,186
ITM0002,LOC016,2026-12,227
ITM0002,LOC005,2026-01,207
ITM0002,LOC005,2026-02,163
ITM0002,LOC005,2026-03,187
ITM0002,LOC005,2026-04,222
ITM0002,LOC005,2026-05,364
ITM0002,LOC005,2026-06,273
ITM0002,LOC005,2026-07,276
ITM0002,LOC005,2026-08,292
ITM0002,LOC005,2026-09,358
ITM0002,LOC005,2026-10,116
ITM0002,LOC005,2026-11,459
ITM0002,LOC005,2026-12,420
ITM0002,LOC004,2026-01,525
ITM0002,LOC004,2026-02,570
ITM0002,LOC004,2026-03,383
ITM0002,LOC004,2026-04,529
ITM0002,LOC004,2026-05,381
ITM0002,LOC004,2026-06,314
ITM0002,LOC004,2026-07,96
ITM0002,LOC004,2026-08,298
ITM0002,LOC004,2026-09,230
ITM0002,LOC004,2026-10,433
ITM0002,LOC004,2026-11,321
ITM0002,LOC004,2026-12,263
ITM0002,LOC012,2026-01,283
ITM0002,LOC012,2026-02,44
ITM0002,LOC012,2026-03,184
ITM0002,LOC012,2026-04,112
ITM0002,LOC012,2026-05,76
ITM0002,LOC012,2026-06,276
ITM0002,LOC012,2026-07,345
ITM0002,LOC012,2026-08,255
ITM0002,LOC012,2026-09,382
ITM0002,LOC012,2026-10,417
ITM0002,LOC012,2026-11,444
ITM0002,LOC012,2026-12,151
ITM0003,LOC001,2026-01,276
ITM0003,LOC001,2026-02,148
ITM0003,LOC001,2026-03,233
ITM0003,LOC001,2026-04,428
ITM0003,LOC001,2026-05,102
ITM0003,LOC001,2026-06,228
ITM0003,LOC001,2026-07,420
ITM0003,LOC001,2026-08,395
ITM0003,LOC001,2026-09,300
ITM0003,LOC001,2026-10,396
ITM0003,LOC001,2026-11,319
ITM0003,LOC001,2026-12,158
ITM0003,LOC005,2026-01,112
ITM0003,LOC005,2026-02,223
ITM0003,LOC005,2026-03,410
ITM0003,LOC005,2026-04,232
ITM0003,LOC005,2026-05,191
ITM0003,LOC005,2026-06,207
ITM0003,LOC005,2026-07,116
ITM0003,LOC005,2026-08,285
ITM0003,LOC005,2026-09,158
ITM0003,LOC005,2026-10,343
ITM0003,LOC005,2026-11,16
ITM0003,LOC005,2026-12,339
ITM0003,LOC006,2026-01,223
ITM0003,LOC006,2026-02,66
ITM0003,LOC006,2026-03,386
ITM0003,LOC006,2026-04,266
ITM0003,LOC006,2026-05,32
ITM0003,LOC006,2026-06,194
ITM0003,LOC006,2026-07,334
ITM0003,LOC006,2026-08,244
ITM0003,LOC006,2026-09,393
ITM0003,LOC006,2026-10,389
ITM0003,LOC006,2026-11,379
ITM0003,LOC006,2026-12,339
ITM0003,LOC003,2026-01,460
ITM0003,LOC003,2026-02,379
ITM0003,LOC003,2026-03,354
ITM0003,LOC003,2026-04,49
ITM0003,LOC003,2026-05,407
ITM0003,LOC003,2026-06,457
ITM0003,LOC003,2026-07,264
ITM0003,LOC003,2026-08,243
ITM0003,LOC003,2026-09,532
ITM0003,LOC003,2026-10,89
ITM0003,LOC003,2026-11,356
ITM0003,LOC003,2026-12,590
ITM0003,LOC008,2026-01,188
ITM0003,LOC008,2026-02,382
ITM0003,LOC008,2026-03,526
ITM0003,LOC008,2026-04,285
ITM0003,LOC008,2026-05,367
ITM0003,LOC008,2026-06,408
ITM0003,LOC008,2026-07,191
ITM0003,LOC008,2026-08,289
ITM0003,LOC008,2026-09,335
ITM0003,LOC008,2026-10,399
ITM0003,LOC008,2026-11,295
ITM0003,LOC008,2026-12,276
ITM0003,LOC010,2026-01,178
ITM0003,LOC010,2026-02,256
ITM0003,LOC010,2026-03,407
ITM0003,LOC010,2026-04,312
ITM0003,LOC010,2026-05,197
ITM0003,LOC010,2026-06,199
ITM0003,LOC010,2026-07,620
ITM0003,LOC010,2026-08,436
ITM0003,LOC010,2026-09,376
ITM0003,LOC010,2026-10,0
ITM0003,LOC010,2026-11,374
ITM0003,LOC010,2026-12,357
ITM0004,LOC002,2026-01,405
ITM0004,LOC002,2026-02,153
ITM0004,LOC002,2026-03,415
ITM0004,LOC002,2026-04,259
ITM0004,LOC002,2026-05,159
ITM0004,LOC002,2026-06,267
ITM0004,LOC002,2026-07,193
ITM0004,LOC002,2026-08,303
ITM0004,LOC002,2026-09,260
ITM0004,LOC002,2026-10,511
ITM0004,LOC002,2026-11,403
ITM0004,LOC002,2026-12,532
ITM0004,LOC006,2026-01,297
ITM0004,LOC006,2026-02,321
ITM0004,LOC006,2026-03,379
ITM0004,LOC006,2026-04,349
ITM0004,LOC006,2026-05,233
ITM0004,LOC006,2026-06,246
ITM0004,LOC006,2026-07,294
ITM0004,LOC006,2026-08,360
ITM0004,LOC006,2026-09,684
ITM0004,LOC006,2026-10,327
ITM0004,LOC006,2026-11,68
ITM0004,LOC006,2026-12,431
ITM0004,LOC009,2026-01,274
ITM0004,LOC009,2026-02,275
ITM0004,LOC009,2026-03,228
ITM0004,LOC009,2026-04,26
ITM0004,LOC009,2026-05,391
ITM0004,LOC009,2026-06,282
ITM0004,LOC009,2026-07,416
ITM0004,LOC009,2026-08,552
ITM0004,LOC009,2026-09,198
ITM0004,LOC009,2026-10,193
ITM0004,LOC009,2026-11,335
ITM0004,LOC009,2026-12,425
ITM0004,LOC013,2026-01,255
ITM0004,LOC013,2026-02,215
ITM0004,LOC013,2026-03,428
ITM0004,LOC013,2026-04,0
ITM0004,LOC013,2026-05,322
ITM0004,LOC013,2026-06,305
ITM0004,LOC013,2026-07,0
ITM0004,LOC013,2026-08,288
ITM0004,LOC013,2026-09,210
ITM0004,LOC013,2026-10,291
ITM0004,LOC013,2026-11,133
ITM0004,LOC013,2026-12,357
ITM0004,LOC003,2026-01,196
ITM0004,LOC003,2026-02,158
ITM0004,LOC003,2026-03,58
ITM0004,LOC003,2026-04,228
ITM0004,LOC003,2026-05,401
ITM0004,LOC003,2026-06,280
ITM0004,LOC003,2026-07,318
ITM0004,LOC003,2026-08,384
ITM0004,LOC003,2026-09,378
ITM0004,LOC003,2026-10,535
ITM0004,LOC003,2026-11,291
ITM0004,LOC003,2026-12,234
ITM0004,LOC007,2026-01,639
ITM0004,LOC007,2026-02,277
ITM0004,LOC007,2026-03,310
ITM0004,LOC007,2026-04,282
ITM0004,LOC007,2026-05,125
ITM0004,LOC007,2026-06,124
ITM0004,LOC007,2026-07,263
ITM0004,LOC007,2026-08,317
ITM0004,LOC007,2026-09,240
ITM0004,LOC007,2026-10,198
ITM0004,LOC007,2026-11,0
ITM0004,LOC007,2026-12,288
ITM0005,LOC008,2026-01,298
ITM0005,LOC008,2026-02,310
ITM0005,LOC008,2026-03,229
ITM0005,LOC008,2026-04,380
ITM0005,LOC008,2026-05,405
ITM0005,LOC008,2026-06,289
ITM0005,LOC008,2026-07,542
ITM0005,LOC008,2026-08,353
ITM0005,LOC008,2026-09,315
ITM0005,LOC008,2026-10,374
ITM0005,LOC008,2026-11,274
ITM0005,LOC008,2026-12,343
ITM0005,LOC010,2026-01,268
ITM0005,LOC010,2026-02,472
ITM0005,LOC010,2026-03,302
ITM0005,LOC010,2026-04,507
ITM0005,LOC010,2026-05,486
ITM0005,LOC010,2026-06,419
ITM0005,LOC010,2026-07,398
ITM0005,LOC010,2026-08,425
ITM0005,LOC010,2026-09,220
ITM0005,LOC010,2026-10,362
ITM0005,LOC010,2026-11,265
ITM0005,LOC010,2026-12,263
ITM0005,LOC002,2026-01,526
ITM0005,LOC002,2026-02,238
ITM0005,LOC002,2026-03,442
ITM0005,LOC002,2026-04,509
ITM0005,LOC002,2026-05,334
ITM0005,LOC002,2026-06,141
ITM0005,LOC002,2026-07,317
ITM0005,LOC002,2026-08,109
ITM0005,LOC002,2026-09,201
ITM0005,LOC002,2026-10,303
ITM0005,LOC002,2026-11,250
ITM0005,LOC002,2026-12,254
ITM0005,LOC018,2026-01,386
ITM0005,LOC018,2026-02,130
ITM0005,LOC018,2026-03,173
ITM0005,LOC018,2026-04,289
ITM0005,LOC018,2026-05,256
ITM0005,LOC018,2026-06,164
ITM0005,LOC018,2026-07,469
ITM0005,LOC018,2026-08,192
ITM0005,LOC018,2026-09,100
ITM0005,LOC018,2026-10,208
ITM0005,LOC018,2026-11,481
ITM0005,LOC018,2026-12,318
ITM0005,LOC003,2026-01,356
ITM0005,LOC003,2026-02,119
ITM0005,LOC003,2026-03,465
ITM0005,LOC003,2026-04,253
ITM0005,LOC003,2026-05,330
ITM0005,LOC003,2026-06,317
ITM0005,LOC003,2026-07,102
ITM0005,LOC003,2026-08,69
ITM0005,LOC003,2026-09,206
ITM0005,LOC003,2026-10,392
ITM0005,LOC003,2026-11,322
ITM0005,LOC003,2026-12,307
ITM0005,LOC014,2026-01,211
ITM0005,LOC014,2026-02,282
ITM0005,LOC014,2026-03,288
ITM0005,LOC014,2026-04,432
ITM0005,LOC014,2026-05,552
ITM0005,LOC014,2026-06,418
ITM0005,LOC014,2026-07,342
ITM0005,LOC014,2026-08,268
ITM0005,LOC014,2026-09,104
ITM0005,LOC014,2026-10,267
ITM0005,LOC014,2026-11,84
ITM0005,LOC014,2026-12,335
ITM0006,LOC009,2026-01,438
ITM0006,LOC009,2026-02,278
ITM0006,LOC009,2026-03,198
ITM0006,LOC009,2026-04,392
ITM0006,LOC009,2026-05,217
ITM0006,LOC009,2026-06,112
ITM0006,LOC009,2026-07,172
ITM0006,LOC009,2026-08,184
ITM0006,LOC009,2026-09,359
ITM0006,LOC009,2026-10,331
ITM0006,LOC009,2026-11,295
ITM0006,LOC009,2026-12,497
ITM0006,LOC008,2026-01,247
ITM0006,LOC008,2026-02,446
ITM0006,LOC008,2026-03,342
ITM0006,LOC008,2026-04,303
ITM0006,LOC008,2026-05,278
ITM0006,LOC008,2026-06,477
ITM0006,LOC008,2026-07,236
ITM0006,LOC008,2026-08,131
ITM0006,LOC008,2026-09,263
ITM0006,LOC008,2026-10,439
ITM0006,LOC008,2026-11,168
ITM0006,LOC008,2026-12,329
ITM0006,LOC007,2026-01,486
ITM0006,LOC007,2026-02,472
ITM0006,LOC007,2026-03,404
ITM0006,LOC007,2026-04,615
ITM0006,LOC007,2026-05,320
ITM0006,LOC007,2026-06,291
ITM0006,LOC007,2026-07,85
ITM0006,LOC007,2026-08,356
ITM0006,LOC007,2026-09,428
ITM0006,LOC007,2026-10,273
ITM0006,LOC007,2026-11,290
ITM0006,LOC007,2026-12,381
ITM0006,LOC004,2026-01,377
ITM0006,LOC004,2026-02,272
ITM0006,LOC004,2026-03,242
ITM0006,LOC004,2026-04,267
ITM0006,LOC004,2026-05,6
ITM0006,LOC004,2026-06,255
ITM0006,LOC004,2026-07,449
ITM0006,LOC004,2026-08,464
ITM0006,LOC004,2026-09,49
ITM0006,LOC004,2026-10,286
ITM0006,LOC004,2026-11,274
ITM0006,LOC004,2026-12,216
ITM0006,LOC012,2026-01,410
ITM0006,LOC012,2026-02,217
ITM0006,LOC012,2026-03,310
ITM0006,LOC012,2026-04,301
ITM0006,LOC012,2026-05,168
ITM0006,LOC012,2026-06,306
ITM0006,LOC012,2026-07,278
ITM0006,LOC012,2026-08,362
ITM0006,LOC012,2026-09,241
ITM0006,LOC012,2026-10,386
ITM0006,LOC012,2026-11,303
ITM0006,LOC012,2026-12,294
ITM0006,LOC011,2026-01,301
ITM0006,LOC011,2026-02,70
ITM0006,LOC011,2026-03,499
ITM0006,LOC011,2026-04,487
ITM0006,LOC011,2026-05,240
ITM0006,LOC011,2026-06,48
ITM0006,LOC011,2026-07,271
ITM0006,LOC011,2026-08,412
ITM0006,LOC011,2026-09,0
ITM0006,LOC011,2026-10,574
ITM0006,LOC011,2026-11,203
ITM0006,LOC011,2026-12,239
ITM0007,LOC014,2026-01,349
ITM0007,LOC014,2026-02,215
ITM0007,LOC014,2026-03,383
ITM0007,LOC014,2026-04,264
ITM0007,LOC014,2026-05,285
ITM0007,LOC014,2026-06,442
ITM0007,LOC014,2026-07,342
ITM0007,LOC014,2026-08,407
ITM0007,LOC014,2026-09,539
ITM0007,LOC014,2026-10,232
ITM0007,LOC014,2026-11,364
ITM0007,LOC014,2026-12,143
ITM0007,LOC009,2026-01,544
ITM0007,LOC009,2026-02,152
ITM0007,LOC009,2026-03,117
ITM0007,LOC009,2026-04,241
ITM0007,LOC009,2026-05,485
ITM0007,LOC009,2026-06,359
ITM0007,LOC009,2026-07,108
ITM0007,LOC009,2026-08,360
ITM0007,LOC009,2026-09,239
ITM0007,LOC009,2026-10,222
ITM0007,LOC009,2026-11,561
ITM0007,LOC009,2026-12,383
ITM0007,LOC002,2026-01,394
ITM0007,LOC002,2026-02,397
ITM0007,LOC002,2026-03,243
ITM0007,LOC002,2026-04,383
ITM0007,LOC002,2026-05,277
ITM0007,LOC002,2026-06,0
ITM0007,LOC002,2026-07,288
ITM0007,LOC002,2026-08,474
ITM0007,LOC002,2026-09,251
ITM0007,LOC002,2026-10,445
ITM0007,LOC002,2026-11,242
ITM0007,LOC002,2026-12,344
ITM0007,LOC005,2026-01,343
ITM0007,LOC005,2026-02,369
ITM0007,LOC005,2026-03,416
ITM0007,LOC005,2026-04,221
ITM0007,LOC005,2026-05,348
ITM0007,LOC005,2026-06,556
ITM0007,LOC005,2026-07,431
ITM0007,LOC005,2026-08,297
ITM0007,LOC005,2026-09,350
ITM0007,LOC005,2026-10,360
ITM0007,LOC005,2026-11,392
ITM0007,LOC005,2026-12,359
ITM0007,LOC016,2026-01,374
ITM0007,LOC016,2026-02,348
ITM0007,LOC016,2026-03,291
ITM0007,LOC016,2026-04,455
ITM0007,LOC016,2026-05,451
ITM0007,LOC016,2026-06,170
ITM0007,LOC016,2026-07,194
ITM0007,LOC016,2026-08,364
ITM0007,LOC016,2026-09,184
ITM0007,LOC016,2026-10,282
ITM0007,LOC016,2026-11,277
ITM0007,LOC016,2026-12,336
ITM0007,LOC001,2026-01,245
ITM0007,LOC001,2026-02,609
ITM0007,LOC001,2026-03,399
ITM0007,LOC001,2026-04,400
ITM0007,LOC001,2026-05,135
ITM0007,LOC001,2026-06,126
ITM0007,LOC001,2026-07,320
ITM0007,LOC001,2026-08,393
ITM0007,LOC001,2026-09,301
ITM0007,LOC001,2026-10,421
ITM0007,LOC001,2026-11,19
ITM0007,LOC001,2026-12,399
ITM0008,LOC001,2026-01,407
ITM0008,LOC001,2026-02,217
ITM0008,LOC001,2026-03,298
ITM0008,LOC001,2026-04,298
ITM0008,LOC001,2026-05,86
ITM0008,LOC001,2026-06,472
ITM0008,LOC001,2026-07,407
ITM0008,LOC001,2026-08,90
ITM0008,LOC001,2026-09,389
ITM0008,LOC001,2026-10,284
ITM0008,LOC001,2026-11,353
ITM0008,LOC001,2026-12,343
ITM0008,LOC005,2026-01,120
ITM0008,LOC005,2026-02,274
ITM0008,LOC005,2026-03,479
ITM0008,LOC005,2026-04,231
ITM0008,LOC005,2026-05,177
ITM0008,LOC005,2026-06,136
ITM0008,LOC005,2026-07,153
ITM0008,LOC005,2026-08,340
ITM0008,LOC005,2026-09,503
ITM0008,LOC005,2026-10,351
ITM0008,LOC005,2026-11,329
ITM0008,LOC005,2026-12,568
ITM0008,LOC002,2026-01,237
ITM0008,LOC002,2026-02,219
ITM0008,LOC002,2026-03,363
ITM0008,LOC002,2026-04,365
ITM0008,LOC002,2026-05,178
ITM0008,LOC002,2026-06,159
ITM0008,LOC002,2026-07,334
ITM0008,LOC002,2026-08,329
ITM0008,LOC002,2026-09,143
ITM0008,LOC002,2026-10,275
ITM0008,LOC002,2026-11,234
ITM0008,LOC002,2026-12,355
ITM0008,LOC007,2026-01,285
ITM0008,LOC007,2026-02,289
ITM0008,LOC007,2026-03,257
ITM0008,LOC007,2026-04,426
ITM0008,LOC007,2026-05,466
ITM0008,LOC007,2026-06,255
ITM0008,LOC007,2026-07,401
ITM0008,LOC007,2026-08,209
ITM0008,LOC007,2026-09,308
ITM0008,LOC007,2026-10,389
ITM0008,LOC007,2026-11,481
ITM0008,LOC007,2026-12,254
ITM0008,LOC012,2026-01,291
ITM0008,LOC012,2026-02,323
ITM0008,LOC012,2026-03,120
ITM0008,LOC012,2026-04,301
ITM0008,LOC012,2026-05,218
ITM0008,LOC012,2026-06,344
ITM0008,LOC012,2026-07,164
ITM0008,LOC012,2026-08,62
ITM0008,LOC012,2026-09,304
ITM0008,LOC012,2026-10,331
ITM0008,LOC012,2026-11,234
ITM0008,LOC012,2026-12,406
ITM0008,LOC013,2026-01,267
ITM0008,LOC013,2026-02,227
ITM0008,LOC013,2026-03,357
ITM0008,LOC013,2026-04,111
ITM0008,LOC013,2026-05,218
ITM0008,LOC013,2026-06,297
ITM0008,LOC013,2026-07,401
ITM0008,LOC013,2026-08,280
ITM0008,LOC013,2026-09,337
ITM0008,LOC013,2026-10,221
ITM0008,LOC013,2026-11,336
ITM0008,LOC013,2026-12,499
ITM0009,LOC010,2026-01,37
ITM0009,LOC010,2026-02,324
ITM0009,LOC010,2026-03,451
ITM0009,LOC010,2026-04,355
ITM0009,LOC010,2026-05,335
ITM0009,LOC010,2026-06,281
ITM0009,LOC010,2026-07,459
ITM0009,LOC010,2026-08,323
ITM0009,LOC010,2026-09,137
ITM0009,LOC010,2026-10,395
ITM0009,LOC010,2026-11,352
ITM0009,LOC010,2026-12,420
ITM0009,LOC004,2026-01,275
ITM0009,LOC004,2026-02,198
ITM0009,LOC004,2026-03,336
ITM0009,LOC004,2026-04,331
ITM0009,LOC004,2026-05,339
ITM0009,LOC004,2026-06,367
ITM0009,LOC004,2026-07,215
ITM0009,LOC004,2026-08,180
ITM0009,LOC004,2026-09,198
ITM0009,LOC004,2026-10,320
ITM0009,LOC004,2026-11,264
ITM0009,LOC004,2026-12,73
ITM0009,LOC016,2026-01,429
ITM0009,LOC016,2026-02,287
ITM0009,LOC016,2026-03,337
ITM0009,LOC016,2026-04,330
ITM0009,LOC016,2026-05,409
ITM0009,LOC016,2026-06,360
ITM0009,LOC016,2026-07,415
ITM0009,LOC016,2026-08,198
ITM0009,LOC016,2026-09,306
ITM0009,LOC016,2026-10,182
ITM0009,LOC016,2026-11,312
ITM0009,LOC016,2026-12,197
ITM0009,LOC018,2026-01,317
ITM0009,LOC018,2026-02,251
ITM0009,LOC018,2026-03,278
ITM0009,LOC018,2026-04,223
ITM0009,LOC018,2026-05,173
ITM0009,LOC018,2026-06,266
ITM0009,LOC018,2026-07,212
ITM0009,LOC018,2026-08,475
ITM0009,LOC018,2026-09,132
ITM0009,LOC018,2026-10,327
ITM0009,LOC018,2026-11,302
ITM0009,LOC018,2026-12,468
ITM0009,LOC003,2026-01,203
ITM0009,LOC003,2026-02,365
ITM0009,LOC003,2026-03,89
ITM0009,LOC003,2026-04,348
ITM0009,LOC003,2026-05,373
ITM0009,LOC003,2026-06,330
ITM0009,LOC003,2026-07,451
ITM0009,LOC003,2026-08,362
ITM0009,LOC003,2026-09,229
ITM0009,LOC003,2026-10,382
ITM0009,LOC003,2026-11,334
ITM0009,LOC003,2026-12,289
ITM0009,LOC017,2026-01,295
ITM0009,LOC017,2026-02,116
ITM0009,LOC017,2026-03,389
ITM0009,LOC017,2026-04,253
ITM0009,LOC017,2026-05,271
ITM0009,LOC017,2026-06,141
ITM0009,LOC017,2026-07,399
ITM0009,LOC017,2026-08,27
ITM0009,LOC017,2026-09,505
ITM0009,LOC017,2026-10,389
ITM0009,LOC017,2026-11,448
ITM0009,LOC017,2026-12,418
ITM0010,LOC015,2026-01,394
ITM0010,LOC015,2026-02,404
ITM0010,LOC015,2026-03,577
ITM0010,LOC015,2026-04,315
ITM0010,LOC015,2026-05,239
ITM0010,LOC015,2026-06,473
ITM0010,LOC015,2026-07,351
ITM0010,LOC015,2026-08,371
ITM0010,LOC015,2026-09,385
ITM0010,LOC015,2026-10,197
ITM0010,LOC015,2026-11,334
ITM0010,LOC015,2026-12,142
ITM0010,LOC013,2026-01,180
ITM0010,LOC013,2026-02,291
ITM0010,LOC013,2026-03,365
ITM0010,LOC013,2026-04,403
ITM0010,LOC013,2026-05,218
ITM0010,LOC013,2026-06,188
ITM0010,LOC013,2026-07,231
ITM0010,LOC013,2026-08,280
ITM0010,LOC013,2026-09,249
ITM0010,LOC013,2026-10,325
ITM0010,LOC013,2026-11,451
ITM0010,LOC013,2026-12,373
ITM0010,LOC009,2026-01,332
ITM0010,LOC009,2026-02,421
ITM0010,LOC009,2026-03,620
ITM0010,LOC009,2026-04,276
ITM0010,LOC009,2026-05,329
ITM0010,LOC009,2026-06,356
ITM0010,LOC009,2026-07,54
ITM0010,LOC009,2026-08,361
ITM0010,LOC009,2026-09,314
ITM0010,LOC009,2026-10,448
ITM0010,LOC009,2026-11,330
ITM0010,LOC009,2026-12,99
ITM0010,LOC018,2026-01,318
ITM0010,LOC018,2026-02,201
ITM0010,LOC018,2026-03,282
ITM0010,LOC018,2026-04,393
ITM0010,LOC018,2026-05,297
ITM0010,LOC018,2026-06,393
ITM0010,LOC018,2026-07,228
ITM0010,LOC018,2026-08,328
ITM0010,LOC018,2026-09,308
ITM0010,LOC018,2026-10,397
ITM0010,LOC018,2026-11,364
ITM0010,LOC018,2026-12,257
ITM0010,LOC007,2026-01,383
ITM0010,LOC007,2026-02,336
ITM0010,LOC007,2026-03,303
ITM0010,LOC007,2026-04,446
ITM0010,LOC007,2026-05,267
ITM0010,LOC007,2026-06,255
ITM0010,LOC007,2026-07,267
ITM0010,LOC007,2026-08,307
ITM0010,LOC007,2026-09,548
ITM0010,LOC007,2026-10,307
ITM0010,LOC007,2026-11,315
ITM0010,LOC007,2026-12,429
ITM0010,LOC008,2026-01,127
ITM0010,LOC008,2026-02,474
ITM0010,LOC008,2026-03,304
ITM0010,LOC008,2026-04,338
ITM0010,LOC008,2026-05,118
ITM0010,LOC008,2026-06,167
ITM0010,LOC008,2026-07,316
ITM0010,LOC008,2026-08,344
ITM0010,LOC008,2026-09,225
ITM0010,LOC008,2026-10,294
ITM0010,LOC008,2026-11,134
ITM0010,LOC008,2026-12,174
ITM0011,LOC001,2026-01,280
ITM0011,LOC001,2026-02,330
ITM0011,LOC001,2026-03,333
ITM0011,LOC001,2026-04,299
ITM0011,LOC001,2026-05,270
ITM0011,LOC001,2026-06,35
ITM0011,LOC001,2026-07,387
ITM0011,LOC001,2026-08,96
ITM0011,LOC001,2026-09,202
ITM0011,LOC001,2026-10,362
ITM0011,LOC001,2026-11,264
ITM0011,LOC001,2026-12,266
ITM0011,LOC004,2026-01,437
ITM0011,LOC004,2026-02,327
ITM0011,LOC004,2026-03,177
ITM0011,LOC004,2026-04,312
ITM0011,LOC004,2026-05,350
ITM0011,LOC004,2026-06,130
ITM0011,LOC004,2026-07,383
ITM0011,LOC004,2026-08,422
ITM0011,LOC004,2026-09,230
ITM0011,LOC004,2026-10,200
ITM0011,LOC004,2026-11,252
ITM0011,LOC004,2026-12,654
ITM0011,LOC012,2026-01,238
ITM0011,LOC012,2026-02,191
ITM0011,LOC012,2026-03,488
ITM0011,LOC012,2026-04,362
ITM0011,LOC012,2026-05,392
ITM0011,LOC012,2026-06,217
ITM0011,LOC012,2026-07,503
ITM0011,LOC012,2026-08,323
ITM0011,LOC012,2026-09,355
ITM0011,LOC012,2026-10,136
ITM0011,LOC012,2026-11,205
ITM0011,LOC012,2026-12,377
ITM0011,LOC017,2026-01,419
ITM0011,LOC017,2026-02,254
ITM0011,LOC017,2026-03,332
ITM0011,LOC017,2026-04,349
ITM0011,LOC017,2026-05,432
ITM0011,LOC017,2026-06,384
ITM0011,LOC017,2026-07,163
ITM0011,LOC017,2026-08,455
ITM0011,LOC017,2026-09,326
ITM0011,LOC017,2026-10,328
ITM0011,LOC017,2026-11,435
ITM0011,LOC017,2026-12,469
ITM0011,LOC018,2026-01,175
ITM0011,LOC018,2026-02,394
ITM0011,LOC018,2026-03,476
ITM0011,LOC018,2026-04,213
ITM0011,LOC018,2026-05,352
ITM0011,LOC018,2026-06,397
ITM0011,LOC018,2026-07,338
ITM0011,LOC018,2026-08,362
